CP20-D5 PIN,0.238
CP20-E90 PIN,0.236
CP20-F PIN,0.24
CP20-G60 PIN,0.22
CP20-G90 PIN,0.226
CP20-GX PIN,0.224
CP20-H PIN,0.236
CP20-J PIN,0.202
CP20-K PIN,0.228
CP20-KX PIN,0.216
CP20-L PIN,0.224
CP20-QN PIN,0.246
CP20-R PIN,0.168
CP20-R PIN,0.246
CP20-T PIN,0.17
CP20-T PIN,0.168
CP20-U PIN,0.17
CP20-V PIN,0.232
CP25-D PIN,0.34
CP25-D1 PIN,0.343
CP25-D2 PIN,0.347
CP25-D4 PIN,0.347
CP25-D6 PIN,0.347
CP25-D-AGW PIN,0.362
CP25-E90 PIN,0.344
CP25-F PIN,0.346
CP25-G60 PIN,0.32
CP25-G90 PIN,0.332
CP25-GX PIN,0.33
CP25-H PIN,0.342
CP25-K PIN,0.334
CP25-KX PIN,0.322
CP25-L PIN,0.328
CP25-U PIN,0.34
CP25-V PIN,0.34
CP30-A PIN,0.272
CP30-B PIN,0.29
CP30-CX PIN,0.282
CP30-D PIN,0.406
CP30-D<3.5> PIN,0.56
CP30-D2 PIN,0.41
CP30-D3 PIN,0.414
CP30-D4 PIN,0.4
CP30-D6 PIN,0.416
CP30-DF PIN,0.416
CP30-DF1 PIN,0.41
CP30-DF1 PIN,0.48
CP30-E90 PIN,0.402
CP30-F PIN,0.42
CP30-G60 PIN,0.366
CP30-G90 PIN,0.388
CP30-GX PIN,0.384
CP30-GX PIN,0.386
CP30-H PIN,0.404
CP30-J PIN,0.4
CP30-J7 PIN,0.62
CP30-K PIN,0.388
CP30-KX PIN,0.356
CP30-L PIN,0.356
CP30-L PIN,0.376
CP30-QN PIN,0.416
CP30-R PIN,0.286
CP30S-D PIN,0.478
CP30S-D2 PIN,0.487
CP30S-D3 PIN,0.487
CP30S-D4 PIN,0.5
CP30S-D6 PIN,0.5
CP30S-DF PIN,0.486
CP30S-DF1 PIN,0.48
CP30S-E90 PIN,0.474
CP30S-F PIN,0.502
CP30S-GX PIN,0.412
CP30S-H PIN,0.476
CP30S-K PIN,0.44
CP30S-KX PIN,0.41
CP30S-U PIN,0.48
CP30S-V PIN,0.466
CP30-T PIN,0.294
CP30-U PIN,0.41
CP30-V PIN,0.4
CP35-A PIN,0.278
CP35-B PIN,0.292
CP35-B<0.9> PIN,0.28
CP35-C PIN,0.304
CP35-CX PIN,0.29
CP35-D PIN,0.411
CP35-D1 PIN,0.81
CP35-D2 PIN,0.798
CP35-D3 PIN,0.8
CP35-D6 PIN,0.806
CP35-DF PIN,0.801
CP35-DF1 PIN,0.418
CP35-E120 PIN,0.392
CP35-E90 PIN,0.4
CP35-F PIN,0.418
CP35-G60 PIN,0.364
CP35-G90 PIN,0.388
CP35-GX PIN,0.39
CP35-H PIN,0.404
CP35-J PIN,0.402
CP35-J PIN,0.618
CP35-J19 PIN,1.236
CP35-J37 PIN,1.894
CP35-J7 PIN,0.618
CP35-K PIN,0.378
CP35-KX PIN,0.358
CP35-L PIN,0.374
CP35-R PIN,0.294
CP35S-D PIN,0.874
CP35S-D PIN,0.411
CP35S-D1 PIN,0.897
CP35S-D2 PIN,0.892
CP35S-D3 PIN,0.893
CP35S-D6 PIN,0.898
CP35S-DF PIN,0.89
CP35S-DF1 PIN,0.993
CP35S-E120 PIN,0.892
CP35S-E90 PIN,0.872
CP35S-F PIN,0.916
CP35S-G120 PIN,0.892
CP35S-G120 PIN,0.884
CP35S-GX PIN,0.794
CP35S-H PIN,0.876
CP35S-K PIN,0.82
CP35S-KX PIN,0.75
CP35-T PIN,0.292
CP35-U PIN,0.406
CP35-U PIN,0.294
CP35-V PIN,0.402
CP40-A PIN,1.002
CP40-B PIN,0.988
CP40-B<0.9> PIN,0.972
CP40-C PIN,1.054
CP40-C PIN,1
CP40-CX PIN,1.026
CP40-CX PIN,54
CP40-D PIN,1.126
CP40-DF PIN,1.134
CP40-DF1 PIN,1.159
CP40-DFL PIN,1.356
CP40-DFL1 PIN,1.38
CP40-DL PIN,1.352
CP40-DL1 PIN,1.364
